username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid3,170,26-30,F,2,2,4,2,4,4,2,2,2,2,2,3,4,4,6,2,5,3,3
uid9,491,21-25,F,1,1,2,2,5,1,3,4,2,4,3,2,2,3,3,3,2,1,3
uid10,492,21-25,F,2,2,1,2,4,2,6,5,3,5,2,2,1,2,6,5,2,5,2
uid12,4227,26-30,M,2,2,4,1,5,2,2,3,3,2,2,3,2,4,5,4,2,2,3
uid14,684,26-30,F,1,1,1,3,4,3,3,2,3,5,2,3,1,3,3,3,2,2,3
uid2,229,21-25,F,2,2,2,2,2,2,3,2,2,3,2,4,2,4,3,2,2,2,1
uid4,194,21-25,F,1,1,1,2,5,4,3,2,2,3,1,1,1,2,7,7,1,1,1
uid13,325,21-25,M,2,2,1,1,4,2,3,2,6,3,2,2,2,4,6,6,2,3,3
uid7,249,above 30,M,1,1,1,1,4,1,2,6,2,6,1,1,1,2,6,6,2,1,1
uid8,182,21-25,F,2,2,2,1,5,2,3,2,2,3,2,2,2,2,3,2,5,2,3
uid5,223,21-25,M,2,1,1,3,5,3,5,3,2,3,2,4,2,2,3,3,2,2,2
uid1,380,under 21,F,1,2,1,4,3,3,3,3,2,3,2,1,1,4,3,2,2,1,2
