username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,1,0,30,70,0,0
uid4,1,0,30,70,0,0
uid12,1,20,40,40,0,0
uid8,1,0,20,60,20,0
uid15,1,20,60,20,0,0
uid6,1,90,10,0,0,0
uid21,1,20,80,0,0,0
uid17,1,20,80,0,0,0
uid5,1,70,20,10,0,0
uid13,1,40,60,0,0,0
uid18,1,20,80,0,0,0
uid7,1,90,10,0,0,0
uid16,1,0,30,70,0,0
uid11,1,80,20,0,0,0
uid19,1,90,9,1,0,0
uid3,1,100,0,0,0,0
uid10,1,80,20,0,0,0
uid2,1,10,50,40,0,0
uid9,1,5,20,70,5,0
uid20,1,10,80,5,5,0
uid17,2,10,80,10,0,0
uid9,2,5,25,50,20,0
uid1,2,0,20,80,0,0
uid6,2,0,10,80,10,0
uid4,2,0,60,40,0,0
uid13,2,0,0,70,30,0
uid19,2,75,20,5,0,0
uid16,2,20,60,20,0,0
uid2,2,30,40,30,0,0
uid5,2,10,50,40,0,0
uid18,2,0,50,50,0,0
uid21,2,0,50,50,0,0
uid7,2,20,80,0,0,0
uid15,2,20,50,30,0,0
uid3,2,100,0,0,0,0
uid10,2,30,60,10,0,0
uid11,2,10,40,50,0,0
uid20,2,20,70,10,0,0
uid12,2,100,0,0,0,0
uid14,2,80,20,0,0,0
uid8,2,100,0,0,0,0
uid14,1,0,100,0,0,0
uid9,3,0,0,30,70,0
uid17,3,20,70,10,0,0
uid12,3,80,20,0,0,0
uid2,3,50,30,20,0,0
uid18,3,60,40,0,0,0
uid21,3,0,70,30,0,0
uid6,3,10,20,70,0,0
uid15,3,50,50,0,0,0
uid16,3,0,40,60,0,0
uid7,3,10,70,20,0,0
uid14,3,10,80,10,0,0
uid11,3,100,0,0,0,0
uid13,3,0,40,60,0,0
uid3,3,100,0,0,0,0
uid20,3,90,10,0,0,0
uid5,3,40,60,0,0,0
uid19,3,80,20,0,0,0
uid10,3,75,25,0,0,0
uid4,3,100,0,0,0,0
uid1,3,100,0,0,0,0
uid8,3,20,80,0,0,0
uid11,4,10,90,0,0,0
uid3,4,0,90,10,0,0
uid9,4,0,10,80,10,0
uid4,4,0,40,60,0,0
uid17,4,50,50,0,0,0
uid1,4,0,60,40,0,0
uid15,4,50,50,0,0,0
uid2,4,20,40,40,0,0
uid13,4,5,60,35,0,0
uid18,4,10,90,0,0,0
uid21,4,50,50,0,0,0
uid10,4,85,15,0,0,0
uid12,4,0,0,50,50,0
uid20,4,5,70,25,0,0
uid14,4,30,50,20,0,0
uid8,4,0,0,50,50,0
uid6,4,0,100,0,0,0
uid7,4,90,10,0,0,0
uid16,4,50,50,0,0,0
uid19,4,90,10,0,0,0
uid5,4,90,10,0,0,0
uid11,5,10,30,60,0,0
uid17,5,0,80,20,0,0
uid3,5,20,20,40,20,0
uid19,5,80,20,0,0,0
uid2,5,20,30,50,0,0
uid10,5,40,50,10,0,0
uid15,5,30,20,50,0,0
uid18,5,0,50,50,0,0
uid5,5,50,50,0,0,0
uid16,5,0,50,50,0,0
uid7,5,10,90,0,0,0
uid6,5,0,10,80,10,0
uid13,5,0,10,70,20,0
uid12,5,0,50,50,0,0
uid8,5,0,0,60,40,0
uid4,5,0,20,70,10,0
uid21,5,0,50,50,0,0
uid1,5,0,0,100,0,0
uid9,5,0,50,45,5,0
uid20,5,5,65,30,0,0
uid16,6,0,50,50,0,0
uid2,6,0,30,70,0,0
uid17,6,10,70,20,0,0
uid15,6,30,70,0,0,0
uid13,6,40,60,0,0,0
uid6,6,0,0,100,0,0
uid4,6,0,75,25,0,0
uid1,6,0,25,75,0,0
uid12,6,100,0,0,0,0
uid9,6,0,80,20,0,0
uid18,6,20,80,0,0,0
uid21,6,0,40,60,0,0
uid8,6,20,80,0,0,0
uid19,6,90,10,0,0,0
uid20,6,5,90,5,0,0
uid10,6,90,10,0,0,0
uid5,6,70,30,0,0,0
uid3,6,100,0,0,0,0
uid14,6,80,10,10,0,0
uid11,6,50,50,0,0,0
uid7,6,0,100,0,0,0
uid17,7,90,10,0,0,0
uid21,7,90,10,0,0,0
uid18,7,90,10,0,0,0
uid4,7,80,20,0,0,0
uid15,7,0,100,0,0,0
uid2,7,10,40,50,0,0
uid1,7,10,90,0,0,0
uid20,7,50,50,0,0,0
uid9,7,0,50,50,0,0
uid3,7,0,50,50,0,0
uid11,7,20,80,0,0,0
uid14,5,80,20,0,0,0
uid10,7,70,30,0,0,0
uid19,7,90,10,0,0,0
uid6,7,10,80,10,0,0
uid5,7,80,20,0,0,0
uid14,7,90,10,0,0,0
uid16,7,100,0,0,0,0
uid7,7,100,0,0,0,0
uid11,8,90,10,0,0,0
uid3,8,100,0,0,0,0
uid13,7,100,0,0,0,0
uid9,8,30,60,10,0,0
uid13,8,80,20,0,0,0
uid6,8,80,10,10,0,0
uid1,8,0,50,50,0,0
uid19,8,95,5,0,0,0
uid15,8,80,20,0,0,0
uid5,8,80,20,0,0,0
uid4,8,0,80,20,0,0
uid12,7,0,100,0,0,0
uid10,8,80,20,0,0,0
uid12,8,20,80,0,0,0
uid14,8,80,20,0,0,0
uid8,7,0,20,80,0,0
uid16,8,80,20,0,0,0
uid20,8,60,40,0,0,0
uid8,8,80,20,0,0,0
uid7,8,90,10,0,0,0
uid17,8,100,0,0,0,0
uid21,8,100,0,0,0,0
uid18,8,100,0,0,0,0
uid11,9,0,50,50,0,0
uid8,9,0,90,10,0,0
uid4,9,0,30,70,0,0
uid21,9,10,90,0,0,0
uid18,9,0,70,30,0,0
uid6,9,0,0,100,0,0
uid9,9,0,0,50,50,0
uid14,9,0,20,80,0,0
uid17,9,10,70,20,0,0
uid1,9,0,40,60,0,0
uid3,9,0,0,100,0,0
uid7,9,0,20,80,0,0
uid19,9,85,15,0,0,0
uid16,9,0,20,50,30,0
uid20,9,0,60,40,0,0
uid13,9,0,20,70,10,0
uid5,9,70,30,0,0,0
uid12,9,90,10,0,0,0
uid10,9,30,70,0,0,0
uid2,8,50,30,20,0,0
uid15,9,50,50,0,0,0
uid2,9,30,50,20,0,0
