username,list_rank,number_questions,list_rank2
uid4,"[(5, 5), (4, 5), (2, 4), (6, 4), (7, 4), (1, 3), (8, 3), (3, 3), (9, 3)]",10,"[5, 4, 2, 6, 7, 1, 8, 3, 9]"
uid13,"[(5, 5), (2, 4), (6, 4), (3, 4), (4, 4), (1, 4), (8, 4), (7, 4), (9, 2)]",17,"[5, 2, 6, 3, 4, 1, 8, 7, 9]"
uid12,"[(5, 5), (6, 5), (1, 5), (4, 5), (3, 5), (7, 5), (8, 5), (2, 4), (9, 4)]",17,"[5, 6, 1, 4, 3, 7, 8, 2, 9]"
uid3,"[(7, 5), (5, 5), (3, 5), (1, 5), (4, 4), (9, 4), (6, 4), (2, 4), (8, 4)]",11,"[7, 5, 3, 1, 4, 9, 6, 2, 8]"
uid5,"[(5, 5), (6, 4), (1, 4), (4, 4), (3, 4), (7, 4), (2, 3), (8, 2), (9, 1)]",8,"[5, 6, 1, 4, 3, 7, 2, 8, 9]"
uid9,"[(5, 5), (1, 5), (4, 5), (7, 4), (6, 4), (3, 4), (2, 3), (8, 3), (9, 3)]",7,"[5, 1, 4, 7, 6, 3, 2, 8, 9]"
uid8,"[(5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (7, 4), (6, 4), (8, 3), (9, 3)]",6,"[5, 4, 3, 2, 1, 7, 6, 8, 9]"
uid14,"[(5, 5), (4, 5), (2, 4), (1, 4), (3, 4), (6, 4), (9, 4), (7, 3), (8, 3)]",12,"[5, 4, 2, 1, 3, 6, 9, 7, 8]"
uid6,"[(1, 5), (5, 5), (4, 5), (2, 4), (3, 3), (6, 3), (7, 3), (8, 2), (9, 1)]",6,"[1, 5, 4, 2, 3, 6, 7, 8, 9]"
uid11,"[(2, 5), (7, 4), (1, 4), (4, 4), (6, 3), (5, 3), (8, 3), (9, 3), (3, 3)]",11,"[2, 7, 1, 4, 6, 5, 8, 9, 3]"
uid1,"[(3, 5), (5, 5), (2, 5), (6, 5), (7, 5), (1, 5), (4, 4), (8, 4), (9, 3)]",15,"[3, 5, 2, 6, 7, 1, 4, 8, 9]"
uid7,"[(5, 5), (6, 5), (8, 4), (4, 4), (3, 4), (1, 4), (7, 4), (2, 3), (9, 2)]",7,"[5, 6, 8, 4, 3, 1, 7, 2, 9]"
uid2,"[(5, 5), (4, 5), (1, 5), (2, 5), (8, 4), (6, 4), (3, 4), (7, 4), (9, 3)]",7,"[5, 4, 1, 2, 8, 6, 3, 7, 9]"
uid10,"[(2, 5), (5, 5), (4, 4), (6, 4), (7, 4), (9, 4), (1, 4), (3, 4), (8, 4)]",17,"[2, 5, 4, 6, 7, 9, 1, 3, 8]"
